"","index","avsalary"
"903",1756,52515.25416154
"904",1661,NA
"905",2653,49290.701596869
"906",66,62495.3872859018
"907",742,51716.6442443012
"908",2441,51668.6384285768
"909",2440,51668.6384285768
"910",2437,51668.6384285768
"911",2453,NA
"912",3024,36085.2
"913",3255,NA
"914",2401,44632.4345843573
"915",2400,44632.4345843573
"916",2365,42488.62172
"917",2062,NA
"918",2603,49437.3834285768
"919",1175,54051.2046332492
"920",2403,NA
"921",330,57226.5068391343
"922",534,51758.900910465
"923",2573,49437.3834285768
"924",465,53129.9293747037
"925",1024,49488.8316263268
"926",352,62097.8611849563
"927",217,NA
"928",3505,NA
"929",566,NA
"930",757,NA
"931",756,NA
"932",2402,35778.2225
"933",2045,NA
"934",102,49770.8030820763
"935",577,NA
"936",2002,NA
"937",2771,NA
"938",725,48419.388964433
"939",726,NA
"940",1777,NA
"941",574,NA
"942",1336,NA
"943",2014,NA
"944",1447,NA
"945",101,NA
"946",1663,NA
"947",2102,NA
"948",1222,NA
"949",2042,NA
"950",1711,NA
"951",3133,NA
"952",337,NA
"953",1642,NA
"954",2774,NA
"955",112,NA
"956",2003,45642.4216343573
"957",3066,NA
"958",761,NA
"959",701,NA
"960",617,NA
"961",1077,NA
"962",740,53988.7320825198
"963",3101,NA
"964",1402,NA
"965",537,NA
"966",1031,48824.607091933
"967",356,NA
"968",540,NA
"969",357,NA
"970",253,NA
"971",3115,NA
"972",1030,48824.607091933
"973",747,56703.0664678774
"974",144,NA
"975",1465,NA
"976",1051,NA
"977",3131,NA
"978",1052,NA
"979",2220,NA
"980",1431,66740.5008149471
"981",2252,40028.323880425
"982",1056,NA
"983",3511,NA
"984",1217,NA
"985",277,NA
"986",276,NA
"987",2471,NA
"988",2040,NA
"989",2407,NA
"990",3415,37213.98485325
"991",3414,37213.98485325
"992",2173,47061.354168225
"993",1154,46251.06441359
"994",1313,NA
"995",1314,NA
"996",1311,NA
"997",1316,NA
"998",1312,NA
"999",2567,43013.37797976
"1000",371,48599.1955988537
"1001",2325,50443.88072818
"1002",2324,50443.88072818
"1003",1327,NA
"1004",1326,NA
"1005",216,NA
"1006",3332,NA
"1007",3165,NA
"1008",564,NA
"1009",3166,NA
"1010",1221,52186.7081635768
"1011",2354,NA
"1012",2561,NA
"1013",175,NA
"1014",2343,NA
"1015",2342,NA
"1016",2072,NA
"1017",1161,NA
"1018",3161,NA
"1019",3435,NA
"1020",207,47924.4162945785
"1021",206,47924.4162945785
"1022",51,53782.3266646281
"1023",61,53782.3266646281
"1024",210,47924.4162945785
"1025",3167,41726.175275
"1026",246,59710.4524134408
"1027",2710,NA
"1028",1764,39761.001525
"1029",136,49770.8030820763
"1030",2463,NA
"1031",2462,NA
"1032",3354,37847.6925
"1033",2271,NA
"1034",1540,48648.1800712393
"1035",1443,NA
"1036",2741,45350.1633938425
"1037",3413,37213.98485325
"1038",3412,37213.98485325
"1039",3052,38741.195
"1040",2243,40028.323880425
"1041",2242,40028.323880425
"1042",1722,NA
"1043",2054,NA
"1044",2026,NA
"1045",3143,NA
"1046",2100,NA
"1047",2535,NA
"1048",716,NA
"1049",3023,38620.0875
"1050",3303,NA
"1051",3246,NA
"1052",3304,NA
"1053",3302,NA
"1054",2175,NA
"1055",366,NA
"1056",365,NA
"1057",2244,NA
"1058",1157,45201.7763133644
"1059",54,53782.3266646281
"1060",3160,41726.175275
"1061",205,47924.4162945785
"1062",3436,41315.5271839
"1063",3204,43023.2193286874
"1064",322,52404.569126185
"1065",2442,48370.0257770915
"1066",1331,47924.4154507274
"1067",2451,NA
"1068",2523,49772.2187998672
"1069",1206,49001.4777088262
"1070",2445,48370.0257770915
"1071",2235,NA
"1072",2654,NA
"1073",3063,NA
"1074",2613,51051.1752515699
"1075",2612,51051.1752515699
"1076",2201,NA
"1077",3376,NA
"1078",3375,NA
"1079",745,57672.034791655
"1080",1177,56167.6086631745
"1081",2064,NA
"1082",2363,48509.5455820991
"1083",2572,51051.1752515699
"1084",355,72528.6867068994
"1085",2431,53275.9151461475
"1086",3114,60779.6919040493
"1087",1400,63008.7847333439
"1088",254,62708.2902417486
"1089",2432,53275.9151461475
"1090",64,70326.848539748
"1091",1507,56933.657527773
"1092",2364,48509.5455820991
"1093",326,62305.8038677992
"1094",1757,54668.2148333437
"1095",466,57983.035684637
"1096",535,58662.142863016
"1097",161,59140.8746767416
"1098",1023,51122.584514532
"1099",1251,49874.963546183
"1100",2504,51617.666799433
"1101",2505,51617.666799433
"1102",3122,52147.104624433
"1103",347,57049.0318916891
"1104",25,57278.0864011757
"1105",543,49593.9707800653
"1106",744,53988.7320825198
"1107",2176,47061.354168225
"1108",266,42897.3448353675
"1109",325,49440.8628078025
"1110",2546,48775.9618408249
"1111",604,50216.49108475
"1112",2762,NA
"1113",1406,50072.865289561
"1114",1110,NA
"1115",544,49593.9707800653
"1116",1032,51263.0058568838
"1117",605,50216.49108475
"1118",3067,42969.01715085
"1119",1767,45642.4216343573
"1120",1153,46251.06441359
"1121",3372,39265.876525
"1122",3461,41102.66297
"1123",3371,39265.876525
"1124",1737,NA
"1125",1364,49419.5307305512
"1126",333,NA
"1127",1245,NA
"1128",2352,NA
"1129",2353,NA
"1130",3364,47268.5640576364
"1131",1657,NA
"1132",672,65959.4190031563
"1133",2775,NA
"1134",3362,47268.5640576364
"1135",530,57097.7135966946
"1136",527,57097.7135966946
"1137",531,57097.7135966946
"1138",73,NA
"1139",1037,58585.0171003226
"1140",673,65959.4190031563
"1141",2147,61711.716643767
"1142",3363,47268.5640576364
"1143",2230,52799.3196584675
"1144",1572,NA
"1145",1263,47924.414786843
"1146",2122,46756.8655461875
"1147",2340,54476.0437203683
"1148",274,NA
"1149",3503,NA
"1150",3441,NA
"1151",2300,58980.0910515428
"1152",1174,59332.7364812412
"1153",1351,58481.5207097972
"1154",1744,NA
"1155",2074,NA
"1156",2276,58980.0910515428
"1157",635,NA
"1158",3031,NA
"1159",3032,NA
"1160",3234,NA
"1161",125,NA
"1162",273,NA
"1163",773,59576.7923281835
"1164",1173,59332.7364812412
"1165",1300,59296.9733892031
"1166",2213,NA
"1167",637,NA
"1168",2146,61711.716643767
"1169",3030,NA
"1170",1262,47924.414786843
"1171",1261,47924.414786843
"1172",2341,54476.0437203683
"1173",2277,58980.0910515428
"1174",1430,60298.1012861114
"1175",772,59576.7923281835
"1176",1277,59296.9733892031
"1177",1730,NA
"1178",3103,55800.651462354
"1179",1113,63593.0012844342
"1180",3130,NA
"1181",636,NA
"1182",1743,NA
"1183",1505,NA
"1184",3102,55800.651462354
"1185",3460,50978.847692
"1186",3173,NA
"1187",1630,NA
"1188",2513,54948.9061168846
"1189",1573,NA
"1190",2275,58980.0910515428
"1191",3027,NA
"1192",3457,50978.847692
"1193",1040,58585.0171003226
"1194",460,59582.9757141983
"1195",2622,NA
"1196",2621,NA
"1197",2602,55216.5460550982
"1198",2454,NA
"1199",406,NA
"1200",407,NA
"1201",2033,NA
"1202",2075,NA
"1203",1705,NA
"1204",176,NA
"1205",1265,NA
"1206",2512,NA
"1207",1264,NA
"1208",1211,49001.4777088262
"1209",2152,47457.3750870199
"1210",2532,49772.2187998672
"1211",724,46576.74015085
"1212",3367,37087.63
"1213",2153,47457.3750870199
"1214",3370,37087.63
"1215",1303,NA
"1216",1115,NA
"1217",1050,NA
"1218",1047,NA
"1219",2727,NA
"1220",2731,NA
"1221",2733,NA
"1222",2732,NA
"1223",2730,NA
"1224",710,NA
"1225",332,57800.729555286
"1226",1511,NA
"1227",2121,NA
